emotion,title_en,title_ko,description_en,description_ko,keywords_en,keywords_ko
Joy,Your small joy might save someone else,당신의 작은 기쁨이 또 다른 누군가를 살려요,"The tiny happiness you felt today may seem fleeting, almost insignificant.
But perhaps it will grow into a great hope for someone nearby who quietly witnessed it.

So let your joy show more confidently today.
That small light might not only brighten your life—it could give someone else the courage to keep going.","당신이 오늘 느낀 그 작은 행복이 언뜻 보기에는 그저 스쳐가는 것 같아 보여도,
어쩌면 그것이 옆에 있는 누군가에게는 큰 희망으로 번질 수도 있어요.

그러니 오늘 당신이 느낀 기쁨을 더 당당히 보여주세요.
그 작은 빛이 당신뿐 아니라 세상 어딘가의 누군가에게도 다시 살아갈 용기를 줄 테니까요.","joy, courage, impact","기쁨, 용기, 영향"
Joy,Today’s laughter will make you stronger,오늘의 웃음이 당신을 더 단단하게 만들 거예요,"If laughter found its way to you today for no particular reason, know that it’s far from trivial.
It may be a quiet sign of just how much you’ve endured and grown.
Like a seed that’s waited patiently before finally sprouting, today’s laughter bloomed after all you’ve faced.

So don’t shy away from it—hold it close.
These moments will accumulate, and someday when you tremble again, they’ll quietly support you from behind.","오늘 아무 이유 없이 스며든 웃음이 있다면, 그건 결코 가벼운 것이 아니에요.
당신이 그동안 얼마나 애써 왔는지를 보여주는 작은 증거일지도 몰라요.
마치 오래 참고 견딘 씨앗이 결국 싹을 틔우듯이, 오늘의 웃음은 그렇게 피어난 것이니까요.

그러니 그 웃음을 부끄러워하지 말고, 오히려 소중히 품어주세요.
그 순간이 쌓여서 언젠가 당신이 다시 흔들릴 때, 조용히 등을 받쳐줄 거예요.","laughter, strength, growth","웃음, 강함, 성장"
Joy,Celebrate even your smallest happiness,작은 행복도 마음껏 축하해 주세요,"I hope you don’t dismiss the little happiness you felt today.
If there was a moment you felt a flutter or simply good without reason, quietly celebrate it inside.
Say to yourself, “How wonderful, that I can feel this happy right now.”

This gentle way of acknowledging yourself will, in time, protect and care for you more deeply.
The more you honor your joyful moments, the more tenderly life will color itself around you.","당신이 오늘 느낀 작은 행복을 스스로 대수롭지 않게 여기지 않았으면 해요.
조금 설레었거나, 이유 없이 기분이 좋았던 순간이 있었다면, 마음속으로 작게라도 축하해 주세요.
‘좋다, 내가 지금 이렇게 행복할 수 있어서.’

이렇게 소리 없이 자신을 축하해 주는 마음은 결국 당신을 더 깊이 돌보고 지켜줄 거예요.
당신이 기쁜 순간을 충분히 인정할수록, 삶은 더 다정한 색으로 물들 거랍니다.","happiness, acknowledgment, celebration","행복, 인정, 축하"
Joy,"When joy comes, take a deeper breath",기쁨이 찾아왔을 때 더 크게 숨 쉬어보세요,"When you feel joy, do you tend to hurry past it or allow yourself only a brief taste?
It’s understandable—there’s often a fear that expecting more might lead to disappointment.
But today, when joy arrives, breathe it in a little deeper.
Let it fill your chest fully, then slowly release it.

In doing so, you’re carefully inscribing this happiness into both your body and heart.
And that will quietly make you stronger.","기쁨이 느껴질 때, 당신은 그것을 금방 지나치거나 조금만 맛보려 하지 않나요?
‘괜히 더 기대하면 실망할까 봐’ 하는 마음도 이해돼요.
하지만 오늘은 기쁨이 찾아올 때 더 크게 숨 쉬어보세요.
그 공기가 당신 가슴 가득히 스며들도록 깊게 들이마시고 천천히 내쉬어 보세요.

그렇게 당신은 행복을 몸과 마음에 천천히 새기고 있는 거예요.
그리고 그것이 결국 당신을 더 단단하게 만들어 줄 거예요.","joy, breath, imprint","기쁨, 호흡, 새김"
Sad,"When you’re sad, I’ll be by your side",당신이 슬플 땐 내가 곁에 있을게요,"There are days when your heart just feels chilly and hollow.
Even in a crowd, loneliness can wrap itself around you more tightly.
If you’re feeling that way now, let me quietly sit next to you.
It’s okay if we don’t say a word.
I’ll simply be here with you.

You’re not alone.
Somewhere in this world, there are people who want to understand your sadness.
Today, I hope even that thought eases your pain a little.","마음이 괜히 시리고 허전한 날이 있죠.
그럴 땐 사람들 속에서도 더 외롭게 느껴지곤 해요.
혹시 지금 그런 기분이라면, 내가 조용히 옆에 앉아 있어줄게요.
아무 말도 하지 않아도 괜찮아요.
그저 같이 있어줄 테니까요.

당신은 혼자가 아니에요.
이 세상 어딘가엔 당신의 슬픔을 이해하고 싶은 사람이 있어요.
오늘은 그 사실만으로도 조금 덜 아프길 바라요.","sadness, accompany, comfort","슬픔, 동행, 위로"
Sad,Your sadness will someday become part of you,슬픔도 지나가고 나면 당신의 일부가 돼요,"The sadness you feel now might be so heavy that you can’t see when you’ll ever be okay again.
But like all the countless moments you’ve already survived,
this sadness will also pass and quietly find a place within you.

And when that time comes, you’ll be someone deeper and gentler than you are today.
Because this pain will someday become precious soil, helping you understand someone else’s sorrow.","지금 느끼는 이 슬픔이 너무 커서,
언제쯤 괜찮아질지 막막할지도 몰라요.
하지만 당신이 지금껏 지나온 수많은 순간들처럼,
이 슬픔도 언젠간 지나가서 당신 안에 고요히 자리할 거예요.

그리고 그때가 되면, 당신은 오늘보다 조금 더 깊고 다정한 사람이 되어 있을 거예요.
지금의 아픔도 언젠가 누군가를 이해할 수 있는 귀한 밑거름이 될 테니까요.","sadness, growth, understanding","슬픔, 성장, 이해"
Sad,"Today, just breathing is enough",오늘은 그냥 숨만 잘 쉬어도 괜찮아요,"You don’t have to try so hard today.
It’s okay if you don’t achieve anything, or if you don’t manage to make anyone smile.
Today, simply breathing quietly is more than enough.
Getting through the day like that is already something you’ve done wonderfully.

Be a little kinder to yourself.
You are someone who lives each day far more earnestly than you realize.","오늘 하루 너무 애쓰지 않아도 돼요.
아무것도 이루지 않아도 괜찮고, 누군가를 웃게 하지 않아도 괜찮아요.
오늘은 그냥 조용히 숨만 잘 쉬어도 충분해요.
그렇게 오늘을 무사히 보낸 것만으로도 정말 잘한 거예요.

스스로에게 조금 더 너그러워져 주세요.
당신은 매일 생각보다 훨씬 더 열심히 살고 있는 사람이니까요.","rest, permission, gentleness","쉼, 허락, 너그러움"
Sad,I hope your heart doesn’t break,당신 마음이 부서지지 않길 바라요,"On painful days, even the smallest words can leave cracks in your heart.
Sometimes you fear those cracks might spread and make everything inside collapse.
In those moments, take a deep breath and quietly whisper to yourself,
“I will be okay. I’m not completely broken yet.”

I truly hope you hold on and protect your heart, so that one day, you’ll find yourself smiling again.","마음이 아픈 날엔, 작은 말에도 쉽게 금이 가곤 하죠.
그러다 그 상처가 점점 퍼져서 마음 전체가 무너질까 두려울 때도 있어요.
그럴 땐 깊게 숨을 들이마시고, 스스로에게 이렇게 속삭여 주세요.
“나는 괜찮아질 거야. 아직 완전히 부서진 건 아니니까.”

당신이 끝내 마음을 지켜내어, 언젠가 다시 웃을 수 있기를 진심으로 바라요.","heart, protect, heal","마음, 보호, 회복"
Sad,It’s okay to cry when no one knows,아무도 모르게 울어도 괜찮아요,"Sometimes the pain is so heavy that even sharing it with someone feels exhausting.
So you end up crying quietly by yourself and feel even lonelier because of it.
But that’s okay.
Crying alone means you’re still taking time to look into your own heart.

Today, you don’t owe an explanation for your tears to anyone.
You’re doing more than enough, just by being here.","때로는 너무 아파서 누군가에게 털어놓는 것조차 버거울 때가 있죠.
그래서 조용히 혼자서 울다가 스스로를 더 외롭게 느낄 수도 있어요.
하지만 괜찮아요.
혼자서라도 울 수 있다는 건 당신이 그만큼 자신의 마음을 들여다보고 있다는 뜻이에요.

오늘은 그 눈물을 누구에게도 설명하지 않아도 돼요.
당신은 지금, 충분히 잘 하고 있어요.","tears, alone, okay","눈물, 혼자, 괜찮음"
Sad,Your sadness deserves to be understood,당신이 느끼는 슬픔은 충분히 이해받을 가치가 있어요,"People often say, “That’s nothing,” dismissing your pain without knowing its weight.
When that happens, the sadness inside you can grow even deeper.
But your sadness is never trivial.
It has reasons, and it is absolutely worthy of being understood.

Today, let it be you who first understands your own heart.
Say softly, “Yes, it makes sense that I’d hurt this much.”
Sometimes that gentle acknowledgment is the greatest comfort.","사람들은 종종 “그 정도는 아무 일도 아니야” 라며 가볍게 넘기곤 하죠.
그럴 때면 당신 마음속 슬픔이 더 깊어지기도 해요.
하지만 당신이 느끼는 이 슬픔은 결코 사소하지 않아요.
그 감정은 분명히 이유가 있고, 충분히 이해받아야 할 가치가 있는 거예요.

오늘만큼은 누군가가 아닌 당신 스스로 그 마음을 먼저 이해해주세요.
“그래, 이만큼 아플 만했어.”
그렇게 스스로를 다독이는 것만으로도 큰 위로가 될 거예요.","sadness, understanding, soothe","슬픔, 이해, 다독임"
Sad,It’s okay to simply hurt right now,지금은 그냥 아파도 괜찮아요,"We often become even more burdened by the belief that we must hurry up and feel better.
When sadness still wants to stay and we try to force it out, it can leave even deeper scars.

So today, it’s okay to just be in pain.
If you need more time, give yourself that grace.
You are someone who doesn’t have to rush.","우리는 빨리 나아져야만 한다는 부담 때문에 더 힘들어질 때가 있어요.
슬픔이 아직 머물고 싶은데 억지로 밀어내려 하면, 마음에 더 깊은 흉터만 남기곤 하죠.

그러니 오늘은 그냥 아파도 괜찮아요.
시간이 조금 더 필요하다면, 충분히 기다려 주세요.
당신은 서두르지 않아도 괜찮은 사람이에요.","pain, time, patience","아픔, 시간, 기다림"
Sad,"Someday, your wounds will comfort someone else",당신의 상처가 언젠가 누군가를 위로할 거예요,"Your wounds surely hurt now, but one day you may share them and soothe someone else’s pain.
When that time comes, today’s sorrow will have become a precious story that might even save another life.

So don’t rush.
Hold your pain quietly for now.
Your wounds carry meaning too.","지금 당신이 가진 상처는 분명 아프지만, 언젠가 이 상처를 이야기하며 누군가를 위로하게 될지도 몰라요.
그때가 오면 오늘의 이 슬픔도 결국 누군가를 살릴 수 있는 소중한 이야기가 될 거예요.

그러니 너무 서두르지 말고, 오늘의 아픔을 조용히 품어 주세요.
당신의 이 상처에도 분명 의미가 있을 거예요.","wounds, meaning, comfort","상처, 의미, 위로"
Sad,You’re amazing for still breathing within your sadness,슬픔 속에서도 여전히 숨 쉬고 있는 당신이 참 대단해요,"Even with so much pain, here you are, still making it through each day.
That alone makes you remarkable and precious.
It’s okay if no one else notices.
I see it, and I deeply admire you for it.

Tonight, hold yourself close.
Say, “I’m still living even in this sadness.”
That one quiet affirmation might help you bear tomorrow a little easier.","이토록 아픈데도 당신은 여전히 하루를 살아내고 있잖아요.
그 사실 하나만으로도 충분히 대단하고 귀한 사람이에요.
혹시 아무도 알아주지 않아도 괜찮아요.
나는 그걸 알아보고, 마음 깊이 존경할 거예요.

오늘 밤만큼은 스스로를 꼭 안아 주세요.
“나는 이 슬픔 속에서도 살아가고 있어.”
그 한마디가 내일을 조금 더 견디게 해줄 거예요.","sadness, admire, endure","슬픔, 존경, 살아냄"
Sad,You don’t have to hide your heavy heart,힘든 마음을 꼭 감추려 하지 않아도 돼요,"I understand wanting to always seem okay to others.
But sometimes, pretending you’re fine only wears you out more.
Today, you don’t have to be strong.
Saying quietly, “I’m actually having a hard time,” is perfectly alright.

The moment you acknowledge it, your heart might feel just a bit lighter.
And I think it’s truly brave of you to be that honest.","누군가에게 늘 괜찮은 사람으로 보이고 싶은 마음, 이해해요.
하지만 때론 아무렇지 않은 척 하는 게 더 지치게 만들죠.
오늘은 꼭 씩씩할 필요 없어요.
“나 사실 조금 힘들어.”
이렇게 솔직해지는 것도 괜찮아요.

조용히 인정하는 순간, 마음이 조금 가벼워질 거예요.
그리고 그런 용기를 내준 당신이 참 대견해요.","honesty, courage, heart","솔직함, 용기, 마음"
Sad,It’s okay to move slower today,오늘은 그냥 조금 느려도 괜찮아요,"Some days, your heavy heart seems to pull your whole body down with it.
You might feel frustrated that you’re slower than usual.
But it’s okay.
Today can be a day where you move slower and get nothing done.

Tomorrow will be different.
So for now, go at the pace your heart needs.","마음이 무겁고 몸도 따라 무거운 날이 있죠.
그럴 땐 괜히 평소보다 더 느린 자신이 답답할 수도 있어요.
하지만 괜찮아요.
오늘은 조금 느려도, 아무것도 못 해도 괜찮은 날이에요.

내일은 또 다를 테니까요.
오늘만큼은 그냥 천천히, 마음이 시키는 대로 가보세요.","slow, permission, gentle","느림, 허락, 천천히"
Sad,It’s okay to sigh sometimes,작게 한숨 쉬어도 괜찮아요,"Ever feel your chest tighten over nothing big, and a sigh just slips out?
Don’t scold yourself thinking, “Why am I so weak?”
That sigh is simply a breath your body takes to keep going.

Today, let yourself exhale without shame.
It might ease the heaviness just a little.","괜히 큰일도 아닌데 숨이 턱 막히고, 그저 한숨이 나올 때 있죠.
그럴 때 “왜 이렇게 약하지?” 자책하지 않아도 돼요.
한숨도 당신이 버텨내느라 내는 자연스러운 숨이에요.

오늘은 그 한숨조차 부끄러워하지 말고 가만히 내뱉어 보세요.
조금이라도 답답함이 덜어질 거예요.","sigh, natural, ease","한숨, 자연스러움, 가벼움"
Sad,Your sadness is an important part of you too,슬픈 마음도 당신의 중요한 일부예요,"Have you ever wanted to just cover up your sadness with happy things?
I get that.
But your sadness is also an important part of who you are.
Because of it, you can empathize more deeply and see others more sincerely.

So today, let that sadness sit beside you for a bit.
It’s helping to make you someone with even more depth.","자꾸만 기쁜 일로 덮어버리고 싶었던 마음이 있나요?
그 마음도 이해하지만, 슬픔 역시 당신의 중요한 일부예요.
그 감정 덕분에 더 깊이 공감하고, 더 진심으로 누군가를 바라볼 수 있으니까요.

그러니 오늘은 그 슬픔도 조금만 더 곁에 두어 주세요.
당신을 결국 더 넓은 사람으로 만들어 줄 거예요.","sadness, empathy, growth","슬픔, 공감, 넓어짐"
Sad,Some days you just feel like tearing up—and that’s okay,괜히 울컥하는 날도 있는 법이에요,"Why does even the smallest thing make you want to tear up today?
Honestly, some days are just like that.
It’s only what you’ve been holding back starting to slip out.

Don’t force it back down.
Let a little of it go.
Your heart might feel much lighter afterward.","왜 오늘은 사소한 일에도 자꾸 마음이 울컥할까요?
사실 그런 날도 있는 거예요.
지금까지 눌러두었던 게 조금씩 새어나온 것뿐이에요.

억지로 참으려 하지 말고, 오늘은 그냥 살짝 놓아주세요.
그렇게 흘려보내고 나면 마음이 훨씬 편해질 거예요.","tears, ease, flow","눈물, 편안함, 흐름"
Sad,It’s okay if you’re not okay yet,아직 괜찮지 않아도 괜찮아요,"There are times when someone asks, “Are you better now?” and you just can’t say yes.
Honestly, it’s okay if you’re not okay yet.
Needing more time doesn’t mean anything is wrong.

Today, if all you do is breathe and eat a meal, that’s already enough.
Your pace isn’t wrong—it’s simply yours.","“괜찮아졌어?” 라는 물음에 선뜻 대답하기 어려울 때가 있죠.
사실 아직 괜찮지 않아도 괜찮아요.
조금 더 시간이 걸린다고 해서 잘못되는 건 아무것도 없어요.

오늘은 그저 숨 잘 쉬고, 밥 한 끼만 잘 먹어도 충분히 잘하고 있는 거예요.
당신의 속도가 틀린 게 아니라, 그냥 당신에게 딱 맞는 거예요.","pace, okay, waiting","속도, 괜찮음, 기다림"
Worried,I understand why you worry so much,괜히 많은 걸 걱정하는 당신을 이해해요,"Your mind often spins, even over small things.
You imagine everything that could go wrong or hurt someone, preparing for every possible outcome.
People might say you’re “too sensitive,” but really, it just shows how deeply you care.

It’s okay if that leaves you a bit tired.
Today, look at yourself with more gentleness.
Because of that careful heart, the world is a softer place.","당신은 작은 일에도 자꾸 머릿속이 복잡해지죠.
혹시라도 잘못될까, 누군가 상처받을까, 그 모든 경우를 미리 상상하고 준비해두곤 해요.
사람들은 “너무 예민하다”고 쉽게 말하지만, 사실 그건 당신이 얼마나 마음을 쓰며 사는 사람인지 보여주는 증거예요.

조금 지쳐도 괜찮아요.
오늘만큼은 그렇게 애쓰는 자신을 조금 더 다정하게 바라봐 주세요.
그 마음 덕분에 세상은 조금 더 부드럽게 돌아가니까요.","worry, gentleness, understand","걱정, 다정함, 이해"
Worried,Having many worries doesn’t mean something’s wrong,걱정이 많다고 해서 잘못된 건 아니에요,"People often say, “Don’t worry so much,”
as if worrying is somehow a flaw.
But your worries come from being responsible, from valuing what matters.

So if that sense of duty feels heavy today, hold yourself and whisper, “It’s okay.”
You don’t have to protect everything perfectly.
You’re already trying so hard.","사람들은 종종 “너무 걱정하지 마”라고 말하죠.
마치 걱정하는 게 잘못된 습관이라도 된 것처럼요.
하지만 당신의 걱정은 사실 당신이 책임감 있고, 무언가를 소중히 여기기 때문에 생기는 마음이에요.

오늘은 그 책임감이 조금 무겁다면, 괜찮다고 스스로를 안아주세요.
모든 걸 완벽히 지키지 않아도 괜찮아요.
당신은 이미 충분히 애쓰고 있으니까요.","worry, responsibility, okay","걱정, 책임감, 괜찮음"
Worried,You don’t have to worry so much about the future,앞날을 너무 많이 걱정하지 않아도 돼요,"Sometimes thoughts of the future fill your head so completely
that you can’t even enjoy today.
It’s good to prepare ahead, but when it goes too far, it eats away at your present joy.

So today, let tomorrow’s worries belong to tomorrow.
You’ve done enough just by living today well.","아직 오지 않은 미래가 머릿속을 가득 채워서,
오늘 하루조차 제대로 누리지 못할 때가 있죠.
미리 준비하는 건 좋은 일이지만, 지나치면 오늘의 행복마저 갉아먹게 돼요.

오늘은 내일 일을 내일에게 잠시 맡겨 두세요.
당신이 오늘을 잘 살아낸 것만으로도 이미 충분해요.","future, worry, today","미래, 걱정, 오늘"
Worried,You don’t have to push your worries away so quickly,걱정을 너무 빨리 지우려 하지 않아도 괜찮아요,"When worry settles in, we often think we must drive it out immediately.
But worry doesn’t come without reason.
It grows because you have things you treasure and don’t want to lose.

Today, try understanding that worry.
Say, “It’s because I care this much.”
That gentle acknowledgment might ease your heart a little.","걱정이 마음에 들어서면, 우리는 그것을 빨리 몰아내야 한다고만 생각하죠.
하지만 걱정도 이유 없이 찾아오지 않아요.
당신이 그만큼 소중히 여기는 게 있고, 잃고 싶지 않은 것이 있기 때문에 생기는 거예요.

오늘은 그 걱정을 조금 더 이해해 주세요.
“그래, 내가 이만큼 아끼니까 이런 생각도 드는 거지.”
그렇게 스스로를 다독이다 보면, 마음이 조금은 느긋해질 거예요.","worry, understand, soothe","걱정, 이해, 다독임"
Worried,Give yourself a small break so worries don’t trap you,걱정에 갇히지 않도록 작은 숨을 돌려주세요,"When one worry leads to another, your mind can feel like it’s wandering a maze without end.
In moments like that, it’s perfectly fine to step away from those thoughts for a while.

Open a window and feel the breeze, or sip something warm and take a pause.
That small act of catching your breath might comfort you more than you expect.","걱정이 꼬리에 꼬리를 물 때,
당신의 마음은 끝없는 미로를 헤매듯 더 복잡해지죠.
그럴 땐 잠깐만 그 생각에서 벗어나도 괜찮아요.

창문을 열어 바람을 맞거나, 따뜻한 물을 마시며 한숨 돌려보세요.
그 작은 숨 고르기가 생각보다 큰 위로가 될 거예요.","worry, rest, breath","걱정, 휴식, 숨"
Worried,You don’t have to force your worries to stop,걱정을 억지로 멈추지 않아도 돼요,"Even when you tell yourself, “I should stop worrying,”
worries still creep back in.
Trying too hard to stop them can sometimes make them grow even bigger.

Today, let those thoughts simply pass by.
It’s okay if they don’t stop right away.
Eventually, they’ll fade on their own.","“이제 그만 걱정해야지.” 하고 마음먹어도
어느새 다시 떠오르는 게 걱정이죠.
그걸 억지로 멈추려 애쓰다 보면, 오히려 더 커질 때도 있어요.

오늘은 그냥 그런 생각이 스쳐가도록 두세요.
꼭 멈추지 않아도 괜찮아요.
그러다 보면 어느 순간 자연스레 옅어질 거예요.","worry, flow, natural","걱정, 흐름, 자연스러움"
